alice key: ['1', '1', '1', '0', '1']
eve key:   ['1', '1', '1', '0', '1']
bob key:   ['0', '1', '0', '0', '1']
alice key: ['1', '1', '1', '0', '0']
eve key:   ['0', '0', '1', '1', '1']
bob key:   ['1', '0', '1', '0', '0']
alice key: ['0', '1', '1', '1', '0']
eve key:   ['0', '1', '1', '1', '0']
bob key:   ['0', '1', '1', '0', '0']
alice key: ['0', '1', '0', '0', '0']
eve key:   ['0', '1', '0', '0', '0']
bob key:   ['0', '1', '0', '0', '1']
alice key: ['0', '0', '1', '1', '0']
eve key:   ['1', '0', '1', '0', '0']
bob key:   ['0', '1', '0', '1', '0']
alice key: ['1', '1', '1', '0', '1']
eve key:   ['1', '1', '0', '0', '0']
bob key:   ['0', '1', '1', '0', '0']
alice key: ['0', '1', '1', '1', '0']
eve key:   ['0', '0', '1', '0', '1']
bob key:   ['0', '1', '0', '0', '1']
alice key: ['1', '1', '1', '1', '0']
eve key:   ['0', '1', '0', '1', '0']
bob key:   ['0', '0', '1', '0', '0']
